SRM23,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B1183056,24/05/2023,A1256506,Attending,
B1183057,24/05/2023,A1256507,Attending,
B1183058,24/05/2023,A1256508,Attending,
B1183059,24/05/2023,A1256509,Attending,
B1183060,24/05/2023,A1256510,Attending,
B1183061,24/05/2023,A1256511,Attending,Yes
B1183062,24/05/2023,A1256512,Attending,
B1183064,24/05/2023,A1256514,Attending,
B1183068,24/05/2023,A1256518,Attending,
B1183069,24/05/2023,A1256519,Attending,
B1183072,24/05/2023,A1256522,Attending,
B1183074,24/05/2023,A1256524,Attending,
B1183075,24/05/2023,A1256525,Attending,
B1183076,24/05/2023,A1256526,Attending,
B1183078,24/05/2023,A1256528,Attending,
B1183079,24/05/2023,A1256529,Attending,
B1183083,24/05/2023,A1256533,Attending,
B1183084,24/05/2023,A1256534,Attending,Yes
B1183085,24/05/2023,A1256535,Attending,Yes
B1183086,24/05/2023,A1256536,Attending,
B1183088,24/05/2023,A1256538,Attending,
B1183090,24/05/2023,A1256540,Attending,
B1183092,24/05/2023,A1256542,Attending,
B1183094,24/05/2023,A1256544,Attending,
B1183095,24/05/2023,A1256545,Attending,Yes
B1183098,24/05/2023,A1256548,Attending,
B1183100,24/05/2023,A1256550,Attending,
B1183101,24/05/2023,A1256551,Attending,
B1183103,24/05/2023,A1256553,Attending,
B1183104,24/05/2023,A1256554,Attending,Yes
B1183105,24/05/2023,A1256555,Attending,
B1183106,24/05/2023,A1256556,Attending,
B1183107,24/05/2023,A1256557,Attending,
B1183111,24/05/2023,A1256561,Attending,
B1183118,24/05/2023,A1256568,Attending,
B1183119,24/05/2023,A1256569,Attending,
B1183136,24/05/2023,A1256586,Attending,
B1183138,24/05/2023,A1256588,Attending,
B1183139,24/05/2023,A1256589,Attending,
B1183141,24/05/2023,A1256591,Attending,
B1183146,24/05/2023,A1256596,Attending,
B1183148,24/05/2023,A1256598,Attending,
B1183149,24/05/2023,A1256599,Attending,
B1183163,24/05/2023,A1256613,Attending,
B1183173,24/05/2023,A1256623,Attending,
B1183178,24/05/2023,A1256629,Attending,
B1183185,24/05/2023,A1256636,Attending,
B1183192,24/05/2023,A1256643,Attending,
B1183204,24/05/2023,A1256655,Attending,
B1183216,24/05/2023,A1256667,Attending,Yes
B1183217,24/05/2023,A1256668,Attending,Yes
B1183224,24/05/2023,A1256675,Attending,
B1183228,24/05/2023,A1256679,Attending,Yes
B1183231,24/05/2023,A1256682,Attending,
B1183342,25/05/2023,A1256793,Attending,
B1183343,25/05/2023,A1256794,Attending,
B1183363,25/05/2023,A1256814,Attending,
B1183367,25/05/2023,A1256818,Attending,Yes
B1183368,25/05/2023,A1256819,Attending,
