D9,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B770930,15/10/2019,A834687,Attending,Yes
B770982,15/10/2019,A834739,Attending,Yes
B770994,15/10/2019,A834751,Attending,Yes
B770994,15/10/2019,A834752,Attending,Yes
B771065,15/10/2019,A834825,Attending,Yes
B771067,15/10/2019,A834827,Cancelled,
B771069,15/10/2019,A834829,Attending,Yes
B771073,15/10/2019,A834833,Attending,No
B771074,15/10/2019,A834834,Attending,Yes
B771076,15/10/2019,A834836,Cancelled,
B771079,15/10/2019,A834839,Booker not attending,
B771079,15/10/2019,A834840,Attending,
B771079,15/10/2019,A834841,Attending,
B771079,15/10/2019,A834842,Attending,
B771079,15/10/2019,A834843,Attending,
B771282,16/10/2019,A835046,Attending,Yes
B771285,16/10/2019,A835049,Attending,Yes
B771286,16/10/2019,A835050,Attending,Yes
B771288,16/10/2019,A835052,Attending,No
B771290,16/10/2019,A835054,Attending,No
B771369,16/10/2019,A835134,Attending,No
B771372,16/10/2019,A835137,Attending,No
B771447,16/10/2019,A835213,Attending,Yes
B771449,16/10/2019,A835215,Attending,Yes
B771450,16/10/2019,A835216,Attending,Yes
B771513,16/10/2019,A835280,Attending,Yes
B771559,16/10/2019,A835326,Attending,Yes
B771574,16/10/2019,A835341,Attending,Yes
B771876,17/10/2019,A835645,Attending,Yes
B771877,17/10/2019,A835646,Attending,Yes
B771880,17/10/2019,A835649,Attending,No
B771891,17/10/2019,A835660,Attending,Yes
B771922,17/10/2019,A835691,Attending,Yes
B772210,18/10/2019,A835980,Attending,Yes
B772210,23/10/2019,A838226,Attending,Yes
B772332,18/10/2019,A836105,Attending,Yes
B772335,18/10/2019,A836108,Attending,Yes
B772339,18/10/2019,A836112,Attending,No
B772345,18/10/2019,A836118,Attending,Yes
B773130,21/10/2019,A836909,Attending,Yes
B773133,21/10/2019,A836912,Attending,Yes
B773146,21/10/2019,A836925,Cancelled,
B773148,21/10/2019,A836927,Attending,Yes
B773150,21/10/2019,A836929,Attending,Yes
B773165,21/10/2019,A836945,Booker not attending,
B773165,21/10/2019,A836946,Attending,Yes
B773165,21/10/2019,A836947,Attending,Yes
B773165,21/10/2019,A836948,Attending,Yes
B773165,21/10/2019,A836949,Attending,Yes
B773172,21/10/2019,A836958,Attending,Yes
B773172,21/10/2019,A836959,Attending,Yes
B773172,21/10/2019,A836960,Attending,Yes
B773173,21/10/2019,A836961,Attending,Yes
B773175,21/10/2019,A836963,Attending,Yes
B773204,21/10/2019,A836992,Booker not attending,
B773204,21/10/2019,A836993,Attending,Yes
B773204,21/10/2019,A836994,Attending,Yes
B773204,21/10/2019,A836995,Attending,Yes
B773204,21/10/2019,A836996,Attending,Yes
B773204,18/11/2019,A855119,Attending,Yes
B773209,21/10/2019,A837001,Attending,Yes
B773209,21/10/2019,A837002,Attending,Yes
B773212,21/10/2019,A837005,Attending,Yes
B773212,21/10/2019,A837006,Attending,Yes
B773212,21/10/2019,A837007,Attending,Yes
B773217,21/10/2019,A837012,Attending,Yes
B773217,21/10/2019,A837013,Attending,Yes
B773297,21/10/2019,A837093,Attending,Yes
B773339,21/10/2019,A837135,Attending,Yes
B773691,22/10/2019,A837489,Attending,Yes
B773692,22/10/2019,A837490,Attending,Yes
B773696,22/10/2019,A837494,Attending,Yes
B773716,22/10/2019,A837514,Attending,Yes
B773764,22/10/2019,A837563,Attending,No
B773765,22/10/2019,A837564,Attending,Yes
B773878,22/10/2019,A837681,Attending,Yes
B773881,22/10/2019,A837684,Attending,Yes
B773900,22/10/2019,A837703,Attending,No
B773901,22/10/2019,A837704,Attending,No
B773928,22/10/2019,A837731,Attending,No
B773932,22/10/2019,A837735,Cancelled,
B773942,22/10/2019,A837745,Attending,No
